Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,8p,C_0402_1005Metric,43.053,-94.234,270,top
C2,8p,C_0402_1005Metric,35.687,-94.234,270,top
C3,2.2u,C_0603_1608Metric,45.72,-86.868,225,top
C4,2.2u,C_0603_1608Metric,42.926,-74.168,90,top
C5,10u,C_0603_1608Metric,43.434,-56.134,90,top
C6,100n,C_0402_1005Metric,41.633,-55.118,0,top
C7,4.7u,C_0603_1608Metric,43.18,-60.452,270,top
C8,100n,C_0402_1005Metric,40.386,-74.422,225,top
C9,100n,C_0402_1005Metric,43.053,-91.44,270,top
D1,LED,LED_0603_1608Metric,39.37,-70.485,0,top
J1,FTSH-105-01-F-DV-007-K,PinHeader_2x05_P1.27mm_Vertical_SMD,39.37,-104.14,0,top
J3,6.29105E+11,USB_Micro-B_Wuerth_629105150521,39.116,-51.054,180,top
R1,330,R_0402_1005Metric,39.37,-72.39,180,top
R2,10k,R_0402_1005Metric,33.909,-107.823,0,top
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,39.37,-82.55,45,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,37.846,-59.436,0,top
U3,USBLC6-2SC6,SOT-23-6,38.735,-66.04,270,top
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,39.37,-92.456,180,top
